1) Что такое if и else?;Операторы цикла;Условные операторы;Модули;Условные операторы
2) Как импортировать модули в python?;inject;import;download;import
3) Каким видом данных являются True и False?;boolean;int;string;boolean
4) Как называется система управления модулями в python?;pip;flask;import;pip
5) Как называется модуль, работающий только со временем?;time;calendar;os;time
6) Модуль os работает с ;операционной системой;датой и временем;графикой;операционной системой
7) Как объявлять функцию?;def;with open;func;def
8) Какой командой можно прервать функцию\цикл\программу?;stop;break;end;break
9) Как называется метод сбора информации из какого либо источника?;фишинг;мерджинг;парсинг;парсинг
10) Какой метод возвращает значение?;reload;reprint;return;return
11) Метод для ввода информации?;write;input;insert;input
12) Как в python делать инкремент?;i++;i += 1;i + 1;I += 1
13) Как  пишется метод модуля числа?;mod;abs;dig;abs
14) Метод суммирования?;plus;print;sum;sum
15) len выводит;количество символов;количество цифр;количество пробелов;количество символов
16) Как вызывается консоль?;msconfig;cmd;console;cmd
17) Как называется аргумент, определяющий делитель в файле csv?;delimiter;enter;split;delimiter
18) Что делает метод append?;добавляет объект в контейнер;выводит в верхнем регистре;выводит слово без пробелов;добавляет объект в контейнер
19) Модуль работающий с графикой?;tkinter;os;datetime;tkinter
20) python - это язык;высокоуровневый;низкоуровневый;разметки гипертекста;высокоуровневый
